Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:52 AM,56 F,31 F,39 %,SSW,18 mph,0 mph,29.97 in,0.0 in,Fair
1:52 AM,57 F,30 F,36 %,SSW,16 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy
2:52 AM,56 F,31 F,39 %,SSW,12 mph,0 mph,29.96 in,0.0 in,Cloudy
3:52 AM,56 F,31 F,39 %,SSW,10 mph,0 mph,29.96 in,0.0 in,Cloudy
4:52 AM,55 F,31 F,40 %,SSW,9 mph,0 mph,29.96 in,0.0 in,Cloudy
5:52 AM,54 F,31 F,41 %,SSW,9 mph,0 mph,29.97 in,0.0 in,Cloudy
6:52 AM,54 F,32 F,43 %,SSW,9 mph,0 mph,29.98 in,0.0 in,Cloudy
7:52 AM,54 F,33 F,45 %,SSW,8 mph,0 mph,30.01 in,0.0 in,Cloudy
8:52 AM,56 F,33 F,42 %,SSW,12 mph,0 mph,30.02 in,0.0 in,Cloudy
9:52 AM,58 F,39 F,49 %,S,9 mph,0 mph,30.02 in,0.0 in,Cloudy
10:52 AM,59 F,40 F,49 %,S,13 mph,0 mph,30.03 in,0.0 in,Cloudy
11:52 AM,61 F,40 F,46 %,S,14 mph,0 mph,30.03 in,0.0 in,Cloudy
12:52 PM,67 F,40 F,37 %,SSE,12 mph,0 mph,30.00 in,0.0 in,Cloudy
1:52 PM,70 F,35 F,28 %,S,17 mph,0 mph,29.98 in,0.0 in,Cloudy
2:52 PM,70 F,38 F,31 %,S,16 mph,0 mph,29.94 in,0.0 in,Cloudy
3:52 PM,74 F,36 F,25 %,S,14 mph,0 mph,29.94 in,0.0 in,Partly Cloudy
4:52 PM,72 F,39 F,30 %,S,17 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
5:52 PM,71 F,38 F,30 %,S,13 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
6:52 PM,68 F,39 F,35 %,S,12 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy
7:52 PM,65 F,38 F,37 %,SSW,9 mph,0 mph,29.94 in,0.0 in,Fair
8:52 PM,61 F,39 F,44 %,SSW,9 mph,0 mph,29.94 in,0.0 in,Fair
9:52 PM,60 F,41 F,49 %,S,10 mph,0 mph,29.96 in,0.0 in,Fair
10:52 PM,60 F,39 F,46 %,S,10 mph,0 mph,29.96 in,0.0 in,Fair
11:52 PM,59 F,41 F,51 %,S,12 mph,0 mph,29.96 in,0.0 in,Fair
